,Type,Post
556,Extravert,When someone tells you something hilarious at work and people down the hall close their doors to try to drown out your boisterous laughter.
557,Extravert,"You know you're an extrovert, when you're offended by all the articles on MBTI facebook, about what you shouldn't say to introverts, and articles on how introverts can succeed in the workplace with noisy extrovert coworkers, and relationships and the introvert, and the article on the INFP, INTP,INFJ, and hardly any on ESTP, ENFP, ESFP,ENTP,ESTJ, etc, etc.."
558,Extravert,https://www.facebook.com/thembti
559,Extravert,"When it's dark and you're alone, so you turn on the radio, TV, youtube music, and i-pod music just to fall asleep."
560,Extravert,When you walk around in a Sombrero/coonskin hat/rainbow-colored Afro/Santa hat/Groucho glasses just because you have it.
561,Extravert,When the only way to get your energy level back to normal on winter/summer break is stay at a local Starbucks for 1.5 hrs lol
562,Extravert,"Not all of us. I hate people who don't stop talking. Unless of course the conversation is about ME. Being an ESFP I love talking about ME, ME, ME."
563,Extravert,When you often forget that Introverted people are not Extroverted...
564,Extravert,or
565,Extravert,You feel inanimate when you are alone.
566,Extravert,"You know you're an extrovert, when you're offended by all the articles on MBTI facebook, about what you shouldn't say to introverts, and articles on how introverts can succeed in the workplace with noisy extrovert coworkers, and relationships and the introvert, and the article on the INFP, INTP,INFJ, and hardly any on ESTP, ENFP, ESFP,ENTP,ESTJ, etc, etc.."
567,Extravert,https://www.facebook.com/thembti
568,Extravert,"It's like the system is rigged. I really had a hard crash course in considering introverts' feelings who were too sensitive. I've been accused of attacking people. Its like what you said, no real attempt at understanding us."
569,Extravert,when u love to annoy the hell out of others
570,Extravert,When you have people around you all the time and you don't mind at all.
571,Extravert,When you do not need to eat and sleep when a lot of people around
572,Extravert,The more people the more energized you feel
573,Extravert,...you run naked on the beach scaring old ladies and children.
574,Extravert,"Introverts are either scared of you and resent you, or shyly want to be your friend "
575,Extravert,You know you are if the first thing you think of when you buy a house is throwing a house warming party.
576,Extravert,"I'm not extroverted, but I confirmed a co-worker at work is an extrovert after she called the radio her baby. lol"
577,Extravert,Your SO is an introvert and their reactions to your wild antics range from admiration to amusement to jealousy to sheer embarrassment. :blushed:
578,Extravert,You annoy stressed introverts with your enthusiasm for life.
579,Extravert,You can't stand the thought of being alone.
580,Extravert,You thirst for involvement in social groups (beyond the internet).
581,Extravert,You seem to be missed by social groups primarily made from introverts and you notice they say the group misses its liveliness/aura without you.
582,Extravert,You annoy stressed introverts with your enthusiasm for life.
583,Extravert,When you call everyone you haven't talked to recently while at the laundromat. Sitting there is NOT an option.
584,Extravert,Maybe I'm a shy Enfp
585,Extravert,When you feel like you must fill in gaps of silence.
586,Extravert,When you immediatly say yes to a party invite or other activity.
587,Extravert,"When you are home alone after hours or days of being with others, yet you feel lonely within an hour or two."
588,Extravert,"when you ask your introverted friends ""what's wrong?"" a lot"
589,Extravert,"ps: ""Nothing!"""
590,Extravert,"You know you're an extavert when you would rather go to a coffee shop to study around people, rather than staying home alone."
591,Extravert,When you enter this thread mainly not to be the only one that doesn't write something in such a thread.
592,Extravert,When you have a new idea/object & you HAVE to share it with someone
593,Extravert,Also when you're feeling strong emotions & you HAVE to talk to someone about them
594,Extravert,When you have a new idea/object & you HAVE to share it with someone
595,Extravert,Also when you're feeling strong emotions & you HAVE to talk to someone about them
596,Extravert,When coming home to an empty house makes you instantly want to go out again! 
597,Extravert,When you have a new idea/object & you HAVE to share it with someone
598,Extravert,Also when you're feeling strong emotions & you HAVE to talk to someone about them
599,Extravert,"You don't have much of a filter; and, if you had your way, you would let everyone know where they stood with you"
600,Extravert,You also process things verbally -- outside of yourself -- which leads to odd manic episodes where you march around at night rambling to yourself.
601,Extravert,When you complain to 500 friends on facebook about how lonely/bored you are.
602,Extravert,"You know you're an Extrovert... because the alternative ""You know you're an Introvert"" thread has like ten times as many replies and you're gonna be going out with friends in an hour, thus not allowing time to help this place reach their number by much!"
603,Extravert,When you have to force yourself to shut up a bit around your reeeaally introverted friends so they can get a word in.
604,Extravert,"When you have a problem, and you know what to do about it, but you have to vent in an ""advice asking"" way, otherwise you undergo horrific frustration."
605,Extravert,When coming home to an empty house makes you instantly want to go out again! 
606,Extravert,"When you're so hyperactive and lost in your own head, that looking the mirror surprises you. What I mean is that I get so lost in the moment that I feel my body is a mere vessel, and that I forget I'm shock to see yourself looking back at you."
607,Extravert,You can't be alone for too long. (Without contact.)
608,Extravert,You know you're an Extrovert when Summer's a time to get people together! You can't have Summertime without these precious events. roud:
609,Extravert,When you get completely mummy-like when you've not been with other people than your family for morethan a week. And just taking a walk in the city feels like fresh energy down your longs.
610,Extravert,You know you're an extrovert when 
611,Extravert,It's as easy to talk to a complete stranger as it is with your best friend.
612,Extravert,"When Everyone else wants to go home, you come up with random ideas to keep the night alive."
613,Extravert,when you think introversion is a mental disorder
614,Extravert,when you think introversion is a mental disorder
615,Extravert,That's stupid.
616,Extravert,ღ You're the queen of multitasking
617,Extravert,ღ You come up with a thousand ideas and you want to do every single one of them~
618,Extravert,ღ You talk so fast that people feel the need to catch some breath for you
619,Extravert,ღ It's either 10 things at once or bust
620,Extravert,"When you have actually sent a series of texts like this: ''On a break from work come hang out with me'' ''where are you?? I'm on a break you have to come hang out with me.. are you there??'' ''I am leaving now, what will I do for 2 hours alone!! ANSWER YOUR PHONE MY GOD!'' ''yay!!  come asap I have already been here alone for 10 minutes'' "
621,Extravert,"So annoying, I know, but 2 hours alone on break I would go back to work more depressed and tired. The worst part of being an extrovert is coming across as really intense and annoying at times."
622,Extravert,"Or have come home from work desperate to talk about your day and have walked into the bedroom of your friends who are lying in bed together, plonked yourself down on the bed and began to chat, without a second of hesitation."
623,Extravert,#whatispersonalspace
624,Extravert,v
625,Extravert,"It is funny how the stereotypes of extroverts and introverts still exist. I am an extrovert and believed I was an introvert from when I was 12 because everyone seems to think only introverts are quiet, shy and calm/peaceful. I did not dare to talk to strangers, I was afraid because I was shy. I kind of hate small talk, maybe bc my mom is an INFJ, but yeah..who would say that about extroverts? I can join small talk for 30 min, then I prefer to be alone or with people that have something interesting to talk about. Sorry this is all about ME, ghehe."
626,Extravert,"Also I kind of love the same things extroverts love, but also the the things introverts love. Both I love reading and socializing, deep conversations and going out/clubbing, quiet time in my room vs. joining groups to have a nice time "
627,Extravert,You are probably more moderately extroverted Allthelittlelights. Stereoptypes of all kinds are for the more extremes. 
628,Extravert,If a discussion is about a topic that bores me I will just daydream and I can appear introverted to people who bore me.
629,Extravert,Hm.. when you have a conversation with yourself when you're home alone. 
630,Extravert,When you talk shit and expect everyone to listen to you. 
631,Extravert,When you go outside for no goddamn reason other than to meet new people.
632,Extravert,When you speak to your 90-year-old Gran about life.
633,Extravert,When you friend someone on Facebook you only met once for a brief period of time.
634,Extravert,When you friend someone on Facebook you only met once for a brief period of time.
635,Extravert,When your introverted friends throw house parties and you're always the one they have to kick out last :3
636,Extravert,"When you find out you're extraverted but were previously confused by definitions, and you're surprised and happy about it, which by definition probably means you're not an introvert after all."
637,Extravert,When you take a personality test and you share your results with everybody you know.
638,Extravert,"When you go to a social event, have fun at said social event, and come home to talk to your friends/family about the social event until they kick you out of their room/house/space."
639,Extravert,when you cant loose 
640,Extravert,When everyone around you is a boring fudge and you're just dying to go out and do something because it's Halloween and you can't do indoors when you could be outdoors dressed like Onpu Segawa for the one night it's socially acceptable.
641,Extravert,Extreme double posting :s
642,Extravert,When you actually know the difference between being an extrovert and acting loud and obnoxious.
643,Extravert,"I love my fellow extroverts but I extremely dislike the ones that do things just so people notice them and all their 'fun', 'quirky' behaviours."
644,Extravert,When people tell you you talk too much.
645,Extravert,When you jiggle like an energizer bunny when you are in a group of people
646,Extravert,"When you cant just say hello to your friends, but instead must say: Greeeeetings!"
647,Extravert,When you're alone you feel kind of dull and are in a bit of a daze but the more you talk to people the sharper your mind becomes and the more you want continue.
648,Extravert,you know what will make the idea of being more extrovert or introvert easier to understand? play.
649,Extravert,we all play are we not? i am not saying introverts won't choose to play in teams but extroverts probably 
650,Extravert,will enjoy games that require teamwork or challenging others at a game and being motivated by others in general. 
651,Extravert,"Also extroverts need to meet face-to-face, love to dress up for any kind of an activity and sometimes the activity itself can be dressing. "
652,Extravert,When you lose all your motivation and start circling around your house all frustrated if you have not seen anyone in two days.
653,Extravert,"When you have every night of the week booked with some social activity that you probably invented, and used your charisma to invite people to. And when you don't have something some night, your life isn't complete."
654,Extravert,"When someone invites you to a party, and when you show up, you have 5 other people with you."
655,Extravert,"When you have the charisma to get away with insulting someone of influence you just met, chock it up to be an innocent joke, and they offer you a job immediately afterwards."
656,Extravert,You always go crazy when you're alone for a couple of days.
657,Extravert,You always go crazy when you're alone for a couple of days.
658,Extravert,I guess this is the easy way to spot if someone is an introvert or an extrovert. Ask them if two days alone would feel like a vacation or feel like hell. I envy your alone time!
659,Extravert,o yes those circles are mind fucks of joy huh weeeeeeeeeeeee
660,Extravert,When you so want to say good morning to that stranger.
661,Extravert,"When police knocks down your door, informing you that you've reached the speech limit."
662,Extravert,When you think there's not enough extroverts here.
663,Extravert,When you post on PersonalityCafe once and don't post again for over 3 years. No one I know of...
664,Extravert,"When you constantly share too much and talk too much... Then immediately think ""oh crap, why can't I ever just shut up?"" "
665,Extravert,When after meeting a friend you start wondering if they were bothered/annoyed by you being the one talking 95% of the time you just spent together and if you were too smothering.
666,Extravert,And some days ago I was still wondering if I'm an introvert after all....
667,Extravert,When snow days or any time you have to stay in are dreadful.
668,Extravert,IDK im an introvert lol
669,Extravert,if correct this firmly affirms me being an introvert  
670,Extravert,for me it's like.. nobody home..for reals..heaven!
671,Extravert,"When you constantly share too much and talk too much... Then immediately think ""oh crap, why can't I ever just shut up?"" "
672,Extravert,When after meeting a friend you start wondering if they were bothered/annoyed by you being the one talking 95% of the time you just spent together and if you were too smothering.
673,Extravert,"Want to talk to friends, and people you have romantic interest for, but feel as if you might be annoying them."
674,Extravert,"When you feel 10000x better after having a positive social interaction, even if that interaction just involves paying for food."
675,Extravert,"When you get ""depressed"" after being alone for a day.. or even a few hours somedays :frustrating:"
676,Extravert,Not really depressed but yeah.. lost the word atm :tongue: SO DEPRESSED WILL DO FOR NOW!
677,Extravert,if correct this firmly affirms me being an introvert  
678,Extravert,for me it's like.. nobody home..for reals..heaven!
679,Extravert,When you get bored easily
680,Extravert,You can't spend all day inside
681,Extravert,"Your dominant function is extroverted, the same with your tertiary "
682,Extravert,when you answer right away and you modify your own answer while still speaking
683,Extravert,When spending too much time online makes you feel like a loser. :tongue:
684,Extravert,When you create something you're really proud of and feel the need to show everyone you know
685,Extravert,"Wow, lots of ENxxs on this thread..."
686,Extravert,"When you find that silence is difficult to appreciate, compared to your introverted friends."
687,Extravert,When you realize you talked basically that whole time :blushed:
688,Extravert,"When you don't really mind big crowds, even if they're coming to your place."
689,Extravert,You need people to bounce all your ideas on.
690,Extravert,"You can't go 24 hours without affirmation, and God forbid it comes from an introvert."
691,Extravert,When you actually know the difference between being an extrovert and acting loud and obnoxious.
692,Extravert,"I love my fellow extroverts but I extremely dislike the ones that do things just so people notice them and all their 'fun', 'quirky' behaviours."
693,Extravert,When you go and live in a summer camp for 5 weeks and you're excited because you're always surrounded by people and actually you feel lonely when there's no one in the common room and you go round looking for people to talk to. 
694,Extravert,"And I used to be an introverted, who would say"
695,Extravert,I wasn't trying to be funny:laughing:
696,Extravert,"When you start to go crazy after spending one day alone and unconsciously type ""All work and no play makes Jack a dull boy"" over and over again on a Microsoft Word document."
697,Extravert,True story.
698,Extravert,When after long time out with a group everyone gets tired but you get hyper.
699,Extravert,"Introverted people have it so, so much easier... Being really extraverted is a struggle for sure, gets old bringing introverts outta their shells but, oh so fun!!"
700,Extravert,"Introverted people have it so, so much easier... Being really extraverted is a struggle for sure, gets old bringing introverts outta their shells but, oh so fun!!"
701,Extravert,...When you decide to go and buy something just to make small talk in the cashier line.
702,Extravert,You start bothering others because you can't just sit and think.
703,Extravert,"-When your teacher asks ""Who wants to..."" (Lead, volunteer, whatever) and the whole class is already looking at you in expectation."
704,Extravert,When you are way more excited about your friend's wedding than bride herself. :laughing:
705,Extravert,"You feel like you're about to explode when you haven't spoken to someone in, what, 30 minutes? Unless you're playing a good video game, or reading a good book, or writing something random in a good online forum "
706,Extravert,When you're the first to kick the INTJ's ego down a notch. 
707,Extravert,When you get lonely during the 30 minute commute to work...
708,Extravert,"You know the thing i find the most ironic in terms of PerC in itself is this. If you head over to the ENFP/TP forum, even the ESFP/ENTJ, you won't find masses and masses of data being exchanged. One liners, a few paragraphs here and there. The introverted forums explains everything in complete detail, they go on and on , sometimes repeating themselves over and over again. I can hardly get through reading all the blab, i find myself skipping every 10 lines and getting the jest of the whole thing. Basically Ne can sum up everything that needs to be said in a few lines, often 1. The sub forums are draining, introverts will use up pages in order to get a point across. So yeah, i have to wonder who really talks the most "
709,Extravert,The word is spelled EXTRAVERT and you can touch type it with only your left hand (I mean this in the most literal way only)
710,Extravert,There are other words like that too but I can't think of any atm.
711,Extravert,Extravert
712,Extravert,"I know you're an Extravert when you're never there in your forum and sees comments like, ""somebody, please, revive our forum!"""
713,Extravert,The word is spelled EXTRAVERT and you can touch type it with only your left hand (I mean this in the most literal way only)
714,Extravert,There are other words like that too but I can't think of any atm.
715,Extravert,"And jung whose work we are speaking about also preferred extrovert,due to the other one not being proper Latin whilst claiming to follow the rules of that language."
716,Extravert,"Oh, this is news to me. I thought Jung had it as extravert (at least in PT) which is why I was using that spelling. :/"
717,Extravert,"Nono I meant Extrovert.sorry, late post, typo"
718,Extravert,Dammit it's my autocorrect apt.extravert thus
719,Extravert,"Never forming to a ""clique"" in high school. You were friends with EVERYONE"
720,Extravert,"The first time someone ""ssh""'s you (note that's a noise and not secure shell protocol)"
721,Extravert,You ruin someone's birthday and have no clue why. haha
722,Extravert,"When you get over-excited, can't pipe down and wake everyone up every single night"
723,Extravert,You ruin someone's birthday and have no clue why. haha
724,Extravert,... you're already like the duracell bunny just thinking you'll be spending the weekend in an expo talking to hundreds of new people.
725,Extravert,When you make friends at every party you attend. It's just so easy for you to find things in common with people and be like YAY LETS BE FRIENDS YOU'RE GREAT
726,Extravert,"You know the thing i find the most ironic in terms of PerC in itself is this. If you head over to the ENFP/TP forum, even the ESFP/ENTJ, you won't find masses and masses of data being exchanged. One liners, a few paragraphs here and there. The introverted forums explains everything in complete detail, they go on and on , sometimes repeating themselves over and over again. I can hardly get through reading all the blab, i find myself skipping every 10 lines and getting the jest of the whole thing. Basically Ne can sum up everything that needs to be said in a few lines, often 1. The sub forums are draining, introverts will use up pages in order to get a point across. So yeah, i have to wonder who really talks the most "
727,Extravert,"You know the thing i find the most ironic in terms of PerC in itself is this. If you head over to the ENFP/TP forum, even the ESFP/ENTJ, you won't find masses and masses of data being exchanged. One liners, a few paragraphs here and there. The introverted forums explains everything in complete detail, they go on and on , sometimes repeating themselves over and over again. I can hardly get through reading all the blab, i find myself skipping every 10 lines and getting the jest of the whole thing. Basically Ne can sum up everything that needs to be said in a few lines, often 1. The sub forums are draining, introverts will use up pages in order to get a point across. So yeah, i have to wonder who really talks the most "
728,Extravert,"Your subforums always seem empty because most of you are out in the real world, talking to people in person."
729,Extravert,You talk yourself hoarse every time you spend 6 or more hours with friends or family.
730,Extravert,"You start a new job, and realise the person you share a desk with is not a talker and doesn't like being interrupted. Buuuut gossiping is more fun than work, talk to me!! I'm fun!!"
731,Extravert,"When people say ""You can't have a mental illness, you're so outgoing!"""
732,Extravert,When you're a terrible listener because you're too busy marvelling at the awesome thing you've just said/are about to say- yet you're somehow able to deliver a satisfactory response to the conversation anyway!
733,Extravert,"when you prefer going out than staying at home in most occasions, staying is boring"
734,Extravert,when you eagerly go from one party to another without feeling tired.
735,Extravert,"When you have trouble getting work done, because someone might be out there doing something and you might miss it."
736,Extravert,"The reliance/dependance on external support/guidance is a fundamental facet of the makeup of your personality/being, and you accept this fact with relatively little shame."
737,Extravert,When you show everyone what you do :laughing:
738,Extravert,When you have to try hard not to dominate class discussions.
739,Extravert,When you keep on talking :crazy:
740,Extravert,You demand to be the magician's volunteer to be sawed in half even though they insist they're a Subway sandwich artist... and politley ask you to get back in the line.
741,Extravert,"Yeah, I know. :laughing:"
742,Extravert,:wink: :heart:
743,Extravert,"Yeah, I know. :laughing:"
744,Extravert,:wink: :heart:
745,Extravert,He finally changes his tag to ENTJ 
746,Extravert,Congrats :kitteh: 
747,Extravert,"Oh my gawd, it's you! Hey, welcome back Firelily. I haven't seen you around in a while.  Yes, I'm feeling better and more like myself these days.  I would say those are all good signs that you're an extrovert! :heart:"
748,Extravert,"Also, is that you in your avatar? That's... an interesting costume. :laughing:"
749,Extravert,hehe
750,Extravert,Thank you roud: 
751,Extravert,"Ah, I see. Cool cool.  You're already looking forward to Christmas? There's still Halloween first. :laughing: And here in the US there's Thanksgiving too."
752,Extravert,"Yeah, thanks! Did you go on that Trip to Mexico, btw? That was a few months ago now. "
753,Extravert,Not yet :wink:
754,Extravert,"If you head over to the ENFP/TP forum. . . . . One liners, a few paragraphs here and there. The introverted forums explains everything in complete detail, ,"
755,Extravert,Thinking about visiting some place else or visiting a different friend? :happy:
756,Extravert,Well its really all about getting time off sadly. 
757,Extravert,i still want to visit mexico very much. I have seen too much of it now not to want to see with my own eyes.
758,Extravert,Work keeping you busy?
759,Extravert,i have been super buzy this year. (one of the busiest years i've had) 
760,Extravert,i fear next year is going to be worse 
761,Extravert,What's keeping you so busy that you might be busier next year? :shocked:
762,Extravert,Life. hahaha 
763,Extravert,and i have also decided to take some time off to go back to school to become a teacher :laughing: 
764,Extravert,no
765,Extravert,You know it when you want to have friends and go outside but that shitty inner demon wants to keep you inside
766,Extravert,You know it when you want to have friends and go outside but that shitty inner demon wants to keep you inside
767,Extravert,"Doth it be you, Kormak?"
768,Extravert,When quarantine is driving you insane.
769,Extravert,"When you need time alone to recharge, but you want to feel someone's presence around or else it'll get ""too lonely""."
770,Extravert,When you have some weird desire to take over for someone. lol
771,Extravert,"When someone in a film can’t resist the temptation to lecture the enemy instead of shooting him right away, whereby the enemy finds the time to arm himself with a pistol or at least a knife. Or when someone is falsely accused of murder and inexplicably lowers his gaze like a guilty child, leaving the saving words unsaid. None of the above:"
